x,y,c
151,552,2
499,704,2
5,85,2
146,559,2
882,272,0
350,94,2
151,587,2
766,850,3
823,600,0
373,460,2
758,109,2
385,374,2
157,558,2
861,536,0
77,356,2
98,203,2
834,508,0
569,775,3
851,435,0
53,656,2
462,697,2
151,950,3
561,99,2
89,765,2
607,134,2
534,249,2
775,17,2
9,910,3
803,634,0
22,232,2
744,827,3
343,791,3
585,726,3
552,181,2
401,215,2
269,170,2
992,746,0
58,487,2
766,84,2
178,114,2
950,470,0
84,194,2
221,591,2
795,860,1
971,401,0
485,269,2
480,816,3
15,777,2
27,902,3
319,571,2
759,610,2
594,661,2
912,593,0
271,226,2
397,998,3
179,123,2
69,151,2
582,343,2
287,824,3
654,70,2
76,732,2
291,112,2
392,968,3
290,57,2
201,426,2
886,320,0
367,650,2
124,729,2
917,809,1
510,271,2
726,447,2
835,518,0
436,417,2
804,792,3
501,787,3
634,590,2
95,425,2
998,577,0
222,13,2
713,729,3
547,852,3
253,86,2
375,913,3
859,941,1
960,423,0
639,150,2
739,49,2
953,68,0
83,132,2
206,828,3
800,792,3
614,274,2
260,210,2
847,600,0
122,222,2
658,392,2
152,427,2
636,179,2
271,55,2
792,603,0
320,861,3
42,975,3
985,963,1
943,437,0
296,929,3
996,789,0
296,535,2
308,642,2
594,975,3
830,468,0
117,411,2
30,613,2
737,328,2
699,265,2
488,971,3
585,289,2
766,10,2
16,209,2
963,430,0
812,864,1
622,295,2
62,433,2
972,721,0
259,24,2
841,838,1
84,126,2
871,245,0
406,1,2
973,889,1
322,662,2
97,941,3
432,8,2
321,150,2
607,741,3
39,1,2
632,559,2
395,415,2
276,569,2
453,365,2
843,946,1
611,545,2
263,335,2
991,395,0
656,364,2
325,912,3
601,506,2
811,485,0
891,344,0
570,794,3
545,507,2
525,236,2
539,696,2
976,399,0
727,196,2
306,796,3
36,442,2
693,304,2
705,508,2
958,845,1
950,781,0
48,357,2
617,823,3
982,972,1
588,545,2
353,845,3
772,99,2
838,311,0
573,956,3
748,594,2
181,900,3
436,885,3
879,814,1
210,481,2
728,648,2
891,660,0
127,534,2
655,343,2
592,523,2
369,776,3
746,898,1
533,135,2
218,229,2
34,411,2
303,291,2
583,429,2
391,847,3
691,816,3
10,799,2
535,910,3
334,410,2
319,679,2
786,941,1
682,222,2
272,104,2
141,660,2
188,428,2
230,193,2
258,960,3
880,799,1
663,621,2
451,106,2
558,398,2
326,85,2
670,940,1
71,47,2
506,801,3
177,822,3
665,292,2
688,970,1
847,180,0
337,85,2
36,128,2
894,474,0
947,477,0
480,516,2
886,834,1
269,680,2
96,961,3
933,965,1
163,983,3
240,810,3
443,182,2
42,553,2
27,376,2
25,28,2
727,256,2
942,901,1
777,259,0
690,594,2
863,85,0
116,448,2
341,857,3
520,439,2
639,600,2
817,575,0
394,406,2
722,817,3
27,33,2
130,881,3
808,188,0
766,763,3
230,187,2
44,731,2
731,824,3
581,865,3
725,973,1
705,261,2
690,819,3
706,832,3
33,963,3
154,811,3
561,730,3
758,75,2
889,722,0
64,357,2
704,295,2
847,935,1
966,719,0
906,744,0
50,22,2
781,296,0
541,920,3
810,163,0
967,888,1
587,1,2
576,121,2
527,114,2
538,907,3
844,57,0
573,201,2
109,150,2
779,928,1
619,536,2
454,178,2
664,187,2
718,628,2
66,54,2
695,53,2
165,440,2
266,664,2
948,717,0
11,963,3
393,771,3
419,161,2
731,626,2
143,845,3
704,899,3
161,824,3
299,719,2
429,781,3
863,84,0
551,315,2
469,236,2
627,691,2
146,694,2
517,787,3
133,513,2
834,497,0
384,78,2
742,988,1
732,110,2
575,79,2
394,628,2
114,527,2
591,796,3
845,864,1
991,771,0
965,331,0
278,97,2
385,203,2
234,533,2
246,864,3
205,783,3
221,387,2
771,644,0
570,315,2
646,997,1
829,751,3
898,601,0
430,477,2
686,541,2
869,883,1
335,665,2
440,356,2
572,125,2
305,845,3
389,179,2
583,8,2
789,614,0
796,113,0
234,924,3
566,111,2
298,472,2
314,293,2
577,163,2
270,922,3
872,124,0
117,878,3
200,725,2
825,110,0
455,200,2
404,993,3
138,98,2
951,67,0
532,559,2
703,810,3
94,382,2
460,312,2
840,878,1
652,489,2
966,737,0
624,77,2
158,176,2
189,544,2
689,919,1
30,744,2
57,899,3
144,374,2
722,369,2
374,393,2
571,561,2
462,736,3
311,562,2
115,590,2
607,487,2
452,546,2
706,987,1
317,432,2
576,490,2
365,930,3
851,600,0
800,219,0
760,957,1
510,374,2
716,81,2
12,74,2
602,260,2
649,961,1
484,785,3
923,889,1
800,36,0
235,258,2
381,962,3
6,905,3
717,784,3
677,204,2
142,359,2
248,463,2
740,806,3
631,959,3
409,169,2
17,165,2
344,456,2
216,982,3
158,451,2
412,352,2
570,420,2
39,767,2
910,717,0
177,457,2
430,476,2
70,886,3
121,636,2
13,604,2
198,807,3
617,986,1
961,809,1
213,764,2
237,182,2
867,878,1
980,270,0
174,932,3
397,696,2
50,106,2
926,852,1
688,783,3
51,910,3
470,384,2
61,648,2
638,346,2
821,247,0
798,127,0
403,561,2
720,397,2
587,325,2
523,619,2
775,500,0
633,245,2
483,614,2
738,658,2
932,48,0
690,85,2
10,821,3
790,225,0
337,922,3
429,288,2
394,574,2
716,246,2
943,226,0
490,633,2
647,773,3
782,291,0
239,172,2
46,947,3
354,856,3
721,465,2
305,296,2
934,993,1
694,945,1
623,522,2
965,530,0
361,376,2
653,469,2
365,22,2
198,683,2
75,775,2
700,807,3
765,799,3
475,166,2
267,198,2
26,797,2
598,381,2
900,364,0
774,948,1
45,874,3
7,43,2
139,393,2
937,448,0
125,235,2
952,24,0
424,892,3
860,865,1
351,866,3
969,239,0
995,139,0
217,590,2
540,974,3
952,152,0
606,333,2
393,126,2
264,433,2
504,908,3
457,438,2
495,385,2
899,640,0
133,172,2
748,822,3
291,677,2
931,854,1
177,291,2
720,826,3
953,754,0
727,850,3
281,640,2
327,130,2
271,903,3
110,836,3
816,589,0
623,905,3
506,338,2
550,845,3
315,274,2
243,520,2
722,725,3
558,372,2
852,219,0
442,739,3
57,827,3
677,585,2
600,597,2
766,155,2
24,927,3
832,534,0
401,445,2
518,882,3
970,893,1
911,8,0
588,490,2
317,346,2
495,23,2
376,643,2
908,710,0
360,471,2
482,145,2
267,500,2
837,593,0
108,192,2
100,581,2
701,828,3
162,958,3
430,930,3
487,136,2
142,380,2
487,99,2
857,669,0
628,323,2
322,355,2
240,37,2
83,925,3
245,316,2
635,609,2
672,618,2
104,266,2
243,754,2
782,256,0
987,958,1
518,760,3
793,196,0
890,974,1
532,503,2
87,240,2
895,651,0
588,893,3
191,592,2
91,245,2
729,683,3
941,90,0
929,482,0
219,784,3
333,302,2
394,49,2
907,398,0
886,789,1
152,633,2
827,664,0
692,452,2
640,51,2
978,229,0
853,32,0
323,887,3
806,960,1
381,560,2
137,583,2
488,879,3
556,859,3
546,353,2
650,296,2
244,350,2
976,584,0
429,47,2
418,553,2
149,355,2
324,175,2
852,787,3
126,244,2
643,554,2
759,373,2
483,529,2
429,887,3
606,162,2
92,753,2
659,235,2
918,84,0
997,5,0
170,953,3
86,6,2
615,137,2
72,436,2
50,227,2
325,555,2
438,697,2
143,344,2
884,564,0
914,911,1
52,962,3
289,730,2
443,972,3
46,83,2
357,661,2
382,908,3
724,784,3
420,45,2
929,145,0
541,574,2
443,903,3
804,502,0
542,952,3
263,131,2
294,462,2
618,530,2
28,232,2
530,641,2
936,100,0
148,699,2
615,435,2
295,260,2
71,510,2
792,509,0
129,160,2
389,3,2
462,908,3
299,99,2
518,32,2
891,369,0
740,537,2
675,409,2
870,282,0
698,69,2
467,263,2
6,689,2
902,511,0
617,75,2
514,874,3
928,406,0
774,998,1
894,73,0
244,792,3
881,20,0
701,890,3
900,939,1
79,272,2
925,614,0
881,855,1
983,543,0
413,903,3
490,862,3
679,688,3
978,25,0
534,164,2
622,552,2
913,404,0
786,257,0
332,886,3
454,975,3
915,868,1
376,536,2
878,528,0
112,175,2
925,695,0
187,711,2
950,772,0
306,297,2
205,391,2
155,368,2
715,749,3
264,731,2
386,513,2
775,147,2
911,363,0
291,645,2
81,544,2
88,746,2
42,179,2
276,861,3
820,403,0
396,109,2
501,396,2
989,276,0
990,42,0
908,15,0
352,772,3
80,462,2
824,461,0
23,918,3
269,641,2
958,982,1
71,886,3
789,39,0
186,640,2
825,712,0
476,274,2
844,624,0
595,153,2
442,885,3
802,691,0
982,229,0
78,689,2
357,3,2
348,473,2
904,172,0
941,751,0
624,370,2
316,556,2
677,704,3
32,407,2
464,968,3
757,68,2
50,730,2
632,194,2
867,877,1
738,850,3
567,859,3
468,268,2
751,112,2
637,772,3
244,323,2
264,965,3
825,0,0
273,148,2
170,453,2
705,521,2
495,140,2
856,938,1
677,321,2
187,984,3
295,812,3
846,957,1
537,177,2
203,822,3
749,54,2
628,510,2
82,676,2
517,940,3
626,498,2
654,182,2
898,814,1
743,333,2
359,477,2
989,731,0
375,878,3
12,762,2
662,450,2
